,Player,Team,Apps,Min,G,A,xGChain,xGBuildup,xG90,xA90,xG90 + xA90
237,Steven Defour,Burnley,21.0,1088.0,1,3,1.62,1.01,0.04,0.1,0.14
238,Dean Marney,Burnley,21.0,1779.0,1,2,1.75,1.48,0.01,0.03,0.04
239,Scott Arfield,Burnley,31.0,2118.0,1,0,4.72,1.77,0.12,0.08,0.2
240,Johann Berg Gudmundsson,Burnley,20.0,988.0,1,2,1.57,0.46,0.06,0.11,0.17
241,Jonathan Calleri,West Ham,16.0,526.0,1,0,3.11,0.45,0.42,0.07,0.49
242,David Luiz,Chelsea,33.0,2959.0,1,0,7.6,6.94,0.04,0.04,0.08
243,Andrew Robertson,Hull,33.0,2741.0,1,2,5.09,3.74,0.01,0.05,0.05
244,Jake Livermore,"Hull, West Bromwich Albion",37.0,2989.0,1,1,5.26,3.04,0.05,0.05,0.1
245,Shaun Maloney,Hull,9.0,269.0,1,2,0.96,0.47,0.36,0.2,0.56
246,David Meyler,Hull,20.0,943.0,1,0,1.66,1.36,0.05,0.05,0.1
247,Tom Huddlestone,Hull,31.0,2025.0,1,0,7.11,6.0,0.05,0.05,0.1
248,Lucas Pérez,Arsenal,11.0,254.0,1,0,2.22,0.98,0.33,0.2,0.54
249,Borja Bastón,Swansea,18.0,526.0,1,0,2.8,0.95,0.39,0.04,0.43
250,Mike van der Hoorn,Swansea,8.0,659.0,1,0,1.22,0.79,0.18,0.0,0.18
251,Ben Gibson,Middlesbrough,38.0,3420.0,1,1,5.15,5.05,0.02,0.02,0.04
252,Stewart Downing,Middlesbrough,30.0,2214.0,1,3,6.38,3.31,0.09,0.09,0.18
253,Daniel Ayala,Middlesbrough,14.0,913.0,1,0,1.19,1.19,0.12,0.0,0.12
254,Javier Manquillo,Sunderland,20.0,1423.0,1,0,0.92,0.69,0.03,0.01,0.04
255,Didier Ndong,Sunderland,31.0,2519.0,1,0,6.01,4.34,0.03,0.04,0.07
256,Juan Zuñiga,Watford,21.0,804.0,1,0,2.74,2.16,0.06,0.03,0.09
257,Isaac Success,Watford,19.0,463.0,1,1,1.44,0.09,0.24,0.07,0.31
258,Abdoulaye Doucouré,Watford,20.0,1349.0,1,0,3.59,2.15,0.13,0.03,0.15
259,Sofiane Boufal,Southampton,24.0,1090.0,1,0,4.48,2.6,0.09,0.11,0.2
260,Bruno Martins Indi,Stoke,35.0,3149.0,1,0,4.2,4.11,0.05,0.0,0.05
261,Alfred N'Diaye,Hull,15.0,1286.0,1,0,1.7,1.09,0.08,0.01,0.09
262,Joey Barton,Burnley,14.0,1104.0,1,0,2.63,2.05,0.03,0.05,0.08
263,Grant Leadbitter,Middlesbrough,13.0,707.0,1,0,1.62,0.84,0.1,0.04,0.13
264,Dominic Calvert-Lewin,Everton,11.0,340.0,1,0,1.39,0.22,0.33,0.0,0.33
265,Ademola Lookman,Everton,8.0,289.0,1,0,1.49,0.45,0.36,0.0,0.36
266,Josh Harrop,Manchester United,1.0,90.0,1,0,0.37,0.22,0.14,0.02,0.16
267,Loris Karius,Liverpool,10.0,900.0,0,0,1.9,1.9,0.0,0.0,0.0
268,Ron-Robert Zieler,Leicester,9.0,752.0,0,0,0.57,0.57,0.0,0.0,0.0
269,Håvard Nordtveit,West Ham,16.0,955.0,0,1,1.64,0.88,0.01,0.07,0.08
270,Jan Kirchhoff,Sunderland,7.0,435.0,0,0,0.45,0.36,0.05,0.02,0.06
271,Ragnar Klavan,Liverpool,20.0,1402.0,0,0,3.93,3.9,0.01,0.01,0.02
272,Adnan Januzaj,Sunderland,25.0,1632.0,0,3,4.48,1.65,0.08,0.14,0.22
273,Pierre-Emile Højbjerg,Southampton,22.0,1296.0,0,0,5.6,4.26,0.09,0.04,0.14
274,Artur Boruc,Bournemouth,35.0,3150.0,0,0,2.69,2.67,0.0,0.0,0.0
275,Simon Francis,Bournemouth,34.0,2945.0,0,1,7.8,7.32,0.01,0.05,0.05
276,Andrew Surman,Bournemouth,22.0,1803.0,0,1,5.61,5.3,0.03,0.02,0.05
277,Max Gradel,Bournemouth,11.0,107.0,0,0,0.46,0.09,0.24,0.12,0.36
278,Lewis Grabban,Bournemouth,3.0,51.0,0,1,0.3,0.14,0.13,0.16,0.29
279,Adam Federici,Bournemouth,2.0,180.0,0,0,0.43,0.43,0.0,0.0,0.0
280,Lucas Leiva,Liverpool,24.0,1097.0,0,3,3.26,2.93,0.06,0.05,0.12
281,Brad Smith,Bournemouth,5.0,274.0,0,0,0.92,0.85,0.03,0.02,0.05
282,Kevin Stewart,Liverpool,4.0,15.0,0,0,0.24,0.24,0.0,0.0,0.0
283,Jordon Ibe,Bournemouth,25.0,1067.0,0,0,3.2,1.83,0.07,0.09,0.16
284,Mamadou Sakho,Crystal Palace,8.0,688.0,0,0,1.62,1.57,0.02,0.04,0.05
285,Simon Mignolet,Liverpool,28.0,2520.0,0,0,2.74,2.74,0.0,0.0,0.0
286,Jon Flanagan,Burnley,6.0,360.0,0,0,0.43,0.38,0.0,0.01,0.01
287,Petr Cech,Arsenal,35.0,3097.0,0,0,5.06,5.06,0.0,0.0,0.0
288,Gabriel,Arsenal,19.0,1517.0,0,0,3.95,3.65,0.02,0.02,0.04
289,Nacho Monreal,Arsenal,36.0,3152.0,0,2,11.07,9.22,0.03,0.06,0.09
290,Mohamed Elneny,Arsenal,14.0,693.0,0,1,2.46,2.09,0.07,0.02,0.09
291,Francis Coquelin,Arsenal,29.0,1799.0,0,0,9.35,8.48,0.04,0.03,0.07
292,David Ospina,Arsenal,2.0,143.0,0,0,0.03,0.03,0.0,0.0,0.0
293,Per Mertesacker,Arsenal,1.0,35.0,0,0,0.0,0.0,0.0,0.0,0.0
294,Wayne Hennessey,Crystal Palace,29.0,2610.0,0,0,1.62,1.58,0.0,0.0,0.0
295,Joel Ward,Crystal Palace,38.0,3420.0,0,1,4.74,3.52,0.02,0.02,0.05
296,Damien Delaney,Crystal Palace,30.0,1999.0,0,2,1.64,1.11,0.01,0.08,0.09
297,Pape Souaré,Crystal Palace,3.0,270.0,0,0,0.33,0.18,0.01,0.05,0.06
298,Jason Puncheon,Crystal Palace,36.0,3099.0,0,5,6.89,4.81,0.05,0.15,0.2
299,Mile Jedinak,Crystal Palace,1.0,90.0,0,0,0.11,0.11,0.0,0.07,0.07
