,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
144,Dan Burn Brighton,29, D(CL), D(CL),23(4),2060,0,0.4,40.7,75.6,0.3,1.1,0,6.75
145,Ezri Konsa Aston Villa,24, D(CR),,35(1),3193,0,0.1,35.8,84.7,0,2.1,0,6.75
146,Jarrod Bowen West Ham,25, AM(CLR), AM(CLR),30(8),2579,5,0.8,16.3,74.4,0.8,0.8,0,6.75
147,Thomas Partey Arsenal,28, D(R), D(R),18(6),1537,2,0.5,47.5,87.2,0,2.7,0.1,6.75
148,Joelinton Newcastle,25, AM(LR), AM(LR),23(8),1990,2,0.5,18.8,73.0,0,0.3,0,6.75
149,Christian Pulisic Chelsea,23, M(CLR),,18(9),1738,2,0.9,24.5,82.9,0.2,0.4,0,6.74
150,Marc Albrighton Leicester,32, M(LR),,17(14),1744,5,1.2,24.2,73.3,0.7,1.3,0,6.74
151,Çaglar Söyüncü Leicester,25, D(C),,19(4),1816,0,0.3,60.1,88.0,0.2,2.1,0,6.74
152,Alphonse Areola Fulham,28, GK,,36,3240,0,0,23.3,68.7,0,4.4,0,6.74
153,Sam Johnstone West Brom,28, GK,,37,3330,1,0,29.9,43.2,0,8.4,0,6.74
154,Alisson Liverpool,29, GK,,33,2970,0,0,29.9,84.6,0,3.2,0,6.73
155,Granit Xhaka Arsenal,29, D(L), D(L),29(2),2522,2,0.5,70.6,90.2,0.1,4.2,0.1,6.73
156,Tosin Adarabioyo Fulham,24, D(CR),,33,2954,0,0.2,57.7,86.2,0,3.6,0,6.73
157,Angelo Ogbonna West Ham,33, D(C),,28,2493,0,0.1,36.4,81.3,0,1.8,0,6.73
158,Gabriel Magalhães Arsenal,24, D(C),,22(1),1997,0,0.1,67.4,85.7,0,2.2,0,6.73
159,Callum Hudson-Odoi Chelsea,21, M(CLR),,10(13),1060,3,1.4,25.0,86.1,0.7,1.2,0,6.73
160,David McGoldrick Sheff Utd,34, AM(CLR), AM(CLR),28(7),2402,1,0.5,26.0,74.7,0.1,0.7,0,6.72
161,Mason Greenwood Man Utd,20, AM(R), AM(R),21(10),1826,2,0.5,23.0,85.0,0.2,0.8,0.1,6.72
162,Sergio Reguilón Tottenham,25, D(L), D(L),26(1),2249,3,0.6,44.4,77.3,0.6,1.4,0,6.72
163,Conor Townsend West Brom,28, D(CL), D(CL),25,2235,2,0.9,36.7,76.7,0.6,1.8,0,6.72
164,Matthew Lowton Burnley,32, D(LR), D(LR),34,3060,1,0.8,35.1,68.8,0.4,3.2,0.1,6.71
